produktionsauftrag_id;erstellungsdatum;auftragsart;durchlaufzeit_bkt;kundenstatus;kundenbranche;anwendungstyp;anzahl_werkstuecktraeger;material;oberflaechenbehandlung;laenge_mm;breite_mm;hoehe_mm;traglast_kg;anzahl_aufnahmepunkte;anzahl_einzelteile;anzahl_zukaufteile;anteil_lagerhaltiger_einzelteile;anzahl_arbeitsgaenge;vorgabezeit_saegen_min;vorgabezeit_drehen_min;vorgabezeit_fraesen_min;vorgabezeit_montage_min
PA2024-0001;2024-01-06;Änderung;10;Bestandskunde;Sonstige;Bearbeitung;4;Stahl;pulverbeschichtet;26;26;7;0,008;4;12;12;1,0;4;0;0;28;4
PA2024-0002;2024-01-01;Änderung;4;Bestandskunde;Maschinenbau;Bearbeitung;20;Stahl;pulverbeschichtet;26;26;7;0,04;4;60;60;1,0;4;0;0;140;20
PA2024-0003;2024-01-06;Standard;13;Bestandskunde;Automobilindustrie;Bearbeitung;1;Stahl;pulverbeschichtet;26;26;7;0,002;4;3;3;1,0;4;0;0;7;1
PA2024-0004;2024-01-03;Standard;9;Bestandskunde;Logistiktechnik;Bearbeitung;11;Stahl;pulverbeschichtet;26;26;7;0,022;4;33;33;1,0;4;0;0;77;11
PA2024-0005;2024-01-04;Änderung;6;Bestandskunde;Logistiktechnik;Bearbeitung;9;Stahl;pulverbeschichtet;26;26;7;0,018;4;27;27;1,0;4;0;0;63;9
PA2024-0006;2024-01-05;Standard;5;Bestandskunde;Haushaltsgeräte;Bearbeitung;18;Stahl;pulverbeschichtet;26;26;7;0,036;4;54;54;1,0;4;0;0;126;18
PA2024-0007;2024-01-05;Standard;10;Bestandskunde;Automobilindustrie;Bearbeitung;2;Stahl;pulverbeschichtet;28;28;15;0,006;4;6;6;1,0;4;0;0;16;2
PA2024-0008;2024-01-01;Änderung;9;Bestandskunde;Maschinenbau;Bearbeitung;15;Stahl;pulverbeschichtet;26;26;7;0,03;4;45;45;1,0;4;0;0;105;15
PA2024-0009;2024-01-03;Standard;12;Bestandskunde;Maschinenbau;Bearbeitung;3;Stahl;pulverbeschichtet;28;28;15;0,009;4;9;9;1,0;4;0;0;24;3
PA2024-0010;2024-01-02;Änderung;13;Bestandskunde;Maschinenbau;Bearbeitung;18;Stahl;pulverbeschichtet;26;26;7;0,036;4;54;54;1,0;4;0;0;126;18
PA2024-0011;2024-01-07;Standard;5;Bestandskunde;Maschinenbau;Bearbeitung;11;Stahl;pulverbeschichtet;26;26;7;0,022;4;33;33;1,0;4;0;0;77;11
PA2024-0012;2024-01-01;Änderung;9;Bestandskunde;Logistiktechnik;Bearbeitung;11;Stahl;pulverbeschichtet;28;28;15;0,033;4;33;33;1,0;4;0;0;88;11
PA2024-0013;2024-01-04;Standard;13;Bestandskunde;Sonstige;Bearbeitung;18;Stahl;pulverbeschichtet;26;26;7;0,036;4;54;54;1,0;4;0;0;126;18
PA2024-0014;2024-01-05;Änderung;12;Bestandskunde;Maschinenbau;Bearbeitung;8;Stahl;pulverbeschichtet;28;28;15;0,024;4;24;24;1,0;4;0;0;64;8
PA2024-0015;2024-01-01;Standard;4;Bestandskunde;Sonstige;Bearbeitung;6;Stahl;pulverbeschichtet;26;26;7;0,012;4;18;18;1,0;4;0;0;42;6
PA2024-0016;2024-01-01;Änderung;13;Neukunde;Maschinenbau;Bearbeitung;17;Stahl;pulverbeschichtet;28;28;15;0,051;4;51;51;1,0;4;0;0;136;17
PA2024-0017;2024-01-07;Standard;5;Bestandskunde;Haushaltsgeräte;Bearbeitung;18;Stahl;pulverbeschichtet;28;28;15;0,054;4;54;54;1,0;4;0;0;144;18
PA2024-0018;2024-01-03;Änderung;6;Bestandskunde;Logistiktechnik;Bearbeitung;1;Stahl;pulverbeschichtet;28;28;15;0,003;4;3;3;1,0;4;0;0;8;1
PA2024-0019;2024-01-07;Standard;8;Bestandskunde;Automobilindustrie;Bearbeitung;10;Stahl;pulverbeschichtet;28;28;15;0,03;4;30;30;1,0;4;0;0;80;10
PA2024-0020;2024-01-03;Standard;7;Bestandskunde;Medizintechnik;Bearbeitung;17;Stahl;pulverbeschichtet;26;26;7;0,034;4;51;51;1,0;4;0;0;119;17
PA2024-0021;2024-01-04;Standard;3;Bestandskunde;Automobilindustrie;Bearbeitung;10;Stahl;pulverbeschichtet;26;26;7;0,02;4;30;30;1,0;4;0;0;70;10
PA2024-0022;2024-01-02;Standard;5;Bestandskunde;Maschinenbau;Bearbeitung;3;Stahl;pulverbeschichtet;26;26;7;0,006;4;9;9;1,0;4;0;0;21;3
PA2024-0023;2024-01-06;Änderung;15;Bestandskunde;Maschinenbau;Bearbeitung;17;Stahl;pulverbeschichtet;26;26;7;0,034;4;51;51;1,0;4;0;0;119;17
PA2024-0024;2024-01-05;Änderung;7;Bestandskunde;Haushaltsgeräte;Bearbeitung;12;Stahl;pulverbeschichtet;28;28;15;0,036;4;36;36;1,0;4;0;0;96;12
PA2024-0025;2024-01-04;Änderung;6;Bestandskunde;Sonstige;Bearbeitung;1;Stahl;pulverbeschichtet;28;28;15;0,003;4;3;3;1,0;4;0;0;8;1
PA2024-0026;2024-01-01;Änderung;5;Bestandskunde;Haushaltsgeräte;Bearbeitung;3;Stahl;pulverbeschichtet;26;26;7;0,006;4;9;9;1,0;4;0;0;21;3
PA2024-0027;2024-01-01;Standard;15;Bestandskunde;Logistiktechnik;Bearbeitung;7;Stahl;pulverbeschichtet;26;26;7;0,014;4;21;21;1,0;4;0;0;49;7
PA2024-0028;2024-01-02;Änderung;14;Bestandskunde;Sonstige;Bearbeitung;4;Stahl;pulverbeschichtet;26;26;7;0,008;4;12;12;1,0;4;0;0;28;4
PA2024-0029;2024-01-04;Standard;12;Neukunde;Automobilindustrie;Bearbeitung;4;Stahl;pulverbeschichtet;28;28;15;0,012;4;12;12;1,0;4;0;0;32;4
PA2024-0030;2024-01-06;Standard;10;Bestandskunde;Sonstige;Bearbeitung;7;Stahl;pulverbeschichtet;26;26;7;0,014;4;21;21;1,0;4;0;0;49;7
PA2024-0031;2024-01-02;Standard;13;Bestandskunde;Haushaltsgeräte;Bearbeitung;3;Stahl;pulverbeschichtet;26;26;7;0,006;4;9;9;1,0;4;0;0;21;3
PA2024-0032;2024-01-01;Standard;4;Bestandskunde;Sonstige;Bearbeitung;1;Stahl;pulverbeschichtet;28;28;15;0,003;4;3;3;1,0;4;0;0;8;1
PA2024-0033;2024-01-02;Standard;13;Bestandskunde;Haushaltsgeräte;Bearbeitung;13;Stahl;pulverbeschichtet;26;26;7;0,026;4;39;39;1,0;4;0;0;91;13
PA2024-0034;2024-01-04;Änderung;3;Bestandskunde;Sonstige;Bearbeitung;15;Stahl;pulverbeschichtet;26;26;7;0,03;4;45;45;1,0;4;0;0;105;15
PA2024-0035;2024-01-06;Standard;15;Bestandskunde;Logistiktechnik;Bearbeitung;2;Stahl;pulverbeschichtet;28;28;15;0,006;4;6;6;1,0;4;0;0;16;2
PA2024-0036;2024-01-01;Änderung;4;Bestandskunde;Maschinenbau;Bearbeitung;17;Stahl;pulverbeschichtet;26;26;7;0,034;4;51;51;1,0;4;0;0;119;17
PA2024-0037;2024-01-05;Standard;5;Bestandskunde;Maschinenbau;Bearbeitung;3;Stahl;pulverbeschichtet;26;26;7;0,006;4;9;9;1,0;4;0;0;21;3
PA2024-0038;2024-01-01;Standard;9;Bestandskunde;Automobilindustrie;Bearbeitung;3;Stahl;pulverbeschichtet;26;26;7;0,006;4;9;9;1,0;4;0;0;21;3
PA2024-0039;2024-01-05;Änderung;15;Bestandskunde;Maschinenbau;Bearbeitung;11;Stahl;pulverbeschichtet;28;28;15;0,033;4;33;33;1,0;4;0;0;88;11
PA2024-0040;2024-01-04;Änderung;6;Bestandskunde;Maschinenbau;Bearbeitung;11;Stahl;pulverbeschichtet;26;26;7;0,022;4;33;33;1,0;4;0;0;77;11
PA2024-0041;2024-01-04;Standard;6;Bestandskunde;Maschinenbau;Bearbeitung;9;Stahl;pulverbeschichtet;26;26;7;0,018;4;27;27;1,0;4;0;0;63;9
PA2024-0042;2024-01-01;Änderung;9;Bestandskunde;Automobilindustrie;Bearbeitung;18;Stahl;pulverbeschichtet;26;26;7;0,036;4;54;54;1,0;4;0;0;126;18
PA2024-0043;2024-01-07;Standard;15;Bestandskunde;Automobilindustrie;Bearbeitung;10;Stahl;pulverbeschichtet;28;28;15;0,03;4;30;30;1,0;4;0;0;80;10
PA2024-0044;2024-01-03;Änderung;6;Bestandskunde;Maschinenbau;Bearbeitung;5;Stahl;pulverbeschichtet;26;26;7;0,01;4;15;15;1,0;4;0;0;35;5
PA2024-0045;2024-01-05;Änderung;7;Bestandskunde;Automobilindustrie;Bearbeitung;9;Stahl;pulverbeschichtet;28;28;15;0,027;4;27;27;1,0;4;0;0;72;9
PA2024-0046;2024-01-07;Standard;5;Bestandskunde;Medizintechnik;Bearbeitung;9;Stahl;pulverbeschichtet;28;28;15;0,027;4;27;27;1,0;4;0;0;72;9
PA2024-0047;2024-01-03;Standard;7;Bestandskunde;Logistiktechnik;Bearbeitung;15;Stahl;pulverbeschichtet;26;26;7;0,03;4;45;45;1,0;4;0;0;105;15
PA2024-0048;2024-01-01;Standard;6;Bestandskunde;Maschinenbau;Bearbeitung;5;Stahl;pulverbeschichtet;28;28;15;0,015;4;15;15;1,0;4;0;0;40;5
PA2024-0049;2024-01-05;Änderung;5;Bestandskunde;Logistiktechnik;Bearbeitung;12;Stahl;pulverbeschichtet;26;26;7;0,024;4;36;36;1,0;4;0;0;84;12
PA2024-0050;2024-01-02;Standard;8;Bestandskunde;Maschinenbau;Bearbeitung;18;Stahl;pulverbeschichtet;26;26;7;0,036;4;54;54;1,0;4;0;0;126;18
