date,is_working_day,is_holiday
2024-01-01,True,False
2024-01-02,True,False
2024-01-03,True,False
2024-01-04,True,False
2024-01-05,True,False
2024-01-06,False,False
2024-01-07,False,False
2024-01-08,True,False
2024-01-09,True,False
2024-01-10,True,False
2024-01-11,True,False
2024-01-12,True,False
2024-01-13,False,False
2024-01-14,False,False
2024-01-15,True,False
2024-01-16,True,False
2024-01-17,True,False
2024-01-18,True,False
2024-01-19,True,False
2024-01-20,False,False
2024-01-21,False,False
2024-01-22,True,False
2024-01-23,True,False
2024-01-24,True,False
2024-01-25,True,False
2024-01-26,True,False
2024-01-27,False,False
2024-01-28,False,False
2024-01-29,True,False
2024-01-30,True,False
2024-01-31,True,False
2024-02-01,True,False
2024-02-02,True,False
2024-02-03,False,False
2024-02-04,False,False
2024-02-05,True,False
2024-02-06,True,False
2024-02-07,True,False
2024-02-08,True,False
2024-02-09,True,False
2024-02-10,False,False
2024-02-11,False,False
2024-02-12,True,False
2024-02-13,True,False
2024-02-14,True,False
2024-02-15,True,False
2024-02-16,True,False
2024-02-17,False,False
2024-02-18,False,False
2024-02-19,True,False
2024-02-20,True,False
2024-02-21,True,False
2024-02-22,True,False
2024-02-23,True,False
2024-02-24,False,False
2024-02-25,False,False
2024-02-26,True,False
2024-02-27,True,False
2024-02-28,True,False
2024-02-29,True,False
2024-03-01,True,False
2024-03-02,False,False
2024-03-03,False,False
2024-03-04,True,False
2024-03-05,True,False
2024-03-06,True,False
2024-03-07,True,False
2024-03-08,True,False
2024-03-09,False,False
2024-03-10,False,False
2024-03-11,True,False
2024-03-12,True,False
2024-03-13,True,False
2024-03-14,True,False
2024-03-15,True,False
2024-03-16,False,False
2024-03-17,False,False
2024-03-18,True,False
2024-03-19,True,False
2024-03-20,True,False
2024-03-21,True,False
2024-03-22,True,False
2024-03-23,False,False
2024-03-24,False,False
2024-03-25,True,False
2024-03-26,True,False
2024-03-27,True,False
2024-03-28,True,False
2024-03-29,True,False
2024-03-30,False,False
2024-03-31,False,False
2024-04-01,True,False
2024-04-02,True,False
2024-04-03,True,False
2024-04-04,True,False
2024-04-05,True,False
2024-04-06,False,False
2024-04-07,False,False
2024-04-08,True,False
2024-04-09,True,False
2024-04-10,True,False
2024-04-11,True,False
2024-04-12,True,False
2024-04-13,False,False
2024-04-14,False,False
2024-04-15,True,False
2024-04-16,True,False
2024-04-17,True,False
2024-04-18,True,False
2024-04-19,True,False
2024-04-20,False,False
2024-04-21,False,False
2024-04-22,True,False
2024-04-23,True,False
2024-04-24,True,False
2024-04-25,True,False
2024-04-26,True,False
2024-04-27,False,False
2024-04-28,False,False
2024-04-29,True,False
2024-04-30,True,False
2024-05-01,True,False
2024-05-02,True,False
2024-05-03,True,False
2024-05-04,False,False
2024-05-05,False,False
2024-05-06,True,False
2024-05-07,True,False
2024-05-08,True,False
2024-05-09,True,False
2024-05-10,True,False
2024-05-11,False,False
2024-05-12,False,False
2024-05-13,True,False
2024-05-14,True,False
2024-05-15,True,False
2024-05-16,True,False
2024-05-17,True,False
2024-05-18,False,False
2024-05-19,False,False
2024-05-20,True,False
2024-05-21,True,False
2024-05-22,True,False
2024-05-23,True,False
2024-05-24,True,False
2024-05-25,False,False
2024-05-26,False,False
2024-05-27,True,False
2024-05-28,True,False
2024-05-29,True,False
2024-05-30,True,False
2024-05-31,True,False
2024-06-01,False,False
2024-06-02,False,False
2024-06-03,True,False
2024-06-04,True,False
2024-06-05,True,False
2024-06-06,True,False
2024-06-07,True,False
2024-06-08,False,False
2024-06-09,False,False
2024-06-10,True,False
2024-06-11,True,False
2024-06-12,True,False
2024-06-13,True,False
2024-06-14,True,False
2024-06-15,False,False
2024-06-16,False,False
2024-06-17,True,False
2024-06-18,True,False
2024-06-19,True,False
2024-06-20,True,False
2024-06-21,True,False
2024-06-22,False,False
2024-06-23,False,False
2024-06-24,True,False
2024-06-25,True,False
2024-06-26,True,False
2024-06-27,True,False
2024-06-28,True,False
2024-06-29,False,False
2024-06-30,False,False
2024-07-01,True,False
2024-07-02,True,False
2024-07-03,True,False
2024-07-04,True,False
